"","airline_name","type_traveller","cabin_flown","overall_rating","seat_comfort_rating","cabin_staff_rating","food_beverages_rating","inflight_entertainment_rating","ground_service_rating","wifi_connectivity_rating","value_money_rating","recommended"
"1","adria-airways",NA,"Economy",7,4,4,4,0,NA,NA,4,1
"2","adria-airways",NA,"Business Class",10,4,5,4,1,NA,NA,5,1
"3","adria-airways",NA,"Economy",9,5,5,4,0,NA,NA,5,1
"4","adria-airways",NA,"Business Class",8,4,4,3,1,NA,NA,4,1
"5","adria-airways",NA,"Economy",4,4,2,1,2,NA,NA,2,0
"6","adria-airways",NA,"Economy",9,4,4,3,3,NA,NA,4,1
"7","adria-airways",NA,"Economy",5,4,4,1,0,NA,NA,3,1
"8","adria-airways",NA,"Economy",9,5,5,4,3,NA,NA,4,1
"9","adria-airways",NA,"Business Class",8,4,3,4,1,NA,NA,4,1
"10","adria-airways",NA,"Economy",10,5,5,4,4,NA,NA,4,1
"11","adria-airways",NA,"Economy",9,4,4,4,4,NA,NA,4,1
"12","adria-airways",NA,"Economy",7,4,5,3,3,NA,NA,5,1
"13","adria-airways",NA,"Economy",8,4,4,4,0,NA,NA,4,1
"14","adria-airways",NA,"Business Class",7,3,3,4,1,NA,NA,4,1
"15","adria-airways",NA,"Business Class",7,2,5,4,0,NA,NA,4,1
"16","adria-airways",NA,"Economy",5,4,4,1,0,NA,NA,4,1
"17","adria-airways",NA,"Economy",9,4,5,4,0,NA,NA,2,1
"18","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,4,1
"19","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,4,1
"20","adria-airways",NA,"Economy",8,NA,NA,NA,NA,NA,NA,1,1
"21","adria-airways",NA,"Economy",9,NA,NA,NA,NA,NA,NA,4,1
"22","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,1,0
"23","adria-airways",NA,"Economy",9,NA,NA,NA,NA,NA,NA,4,1
"24","adria-airways",NA,"Business Class",9,NA,NA,NA,NA,NA,NA,4,1
"25","adria-airways",NA,"Business Class",10,NA,NA,NA,NA,NA,NA,4,1
"26","adria-airways",NA,"Economy",7,NA,NA,NA,NA,NA,NA,1,1
"27","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,1,0
"28","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,1,0
"29","adria-airways",NA,"Economy",6,NA,NA,NA,NA,NA,NA,1,1
"30","adria-airways",NA,"Economy",7,NA,NA,NA,NA,NA,NA,4,1
"31","adria-airways",NA,"Economy",5,NA,NA,NA,NA,NA,NA,4,1
"32","adria-airways",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0
"33","adria-airways",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0
"34","adria-airways",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0
"35","adria-airways",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0
"36","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"37","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"38","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"39","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"41","aegean-airlines","FamilyLeisure","Business Class",10,5,5,5,NA,3,NA,5,1
"42","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"44","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"45","adria-airways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"46","aegean-airlines","Couple Leisure","Business Class",8,4,5,4,2,4,NA,4,1
"47","aegean-airlines","FamilyLeisure","Economy",9,4,5,4,NA,4,NA,4,1
